num_credentials,height,data_size,num_oracles,num_states,mechanism,algorithm,setup_memory (MBs),setup_time (s),init_state_cost (gas),proving_memory (MBs),proving_time (s),update_cost (gas)
16384,15,64,4,5,bsl,zkCrossChainSSI,1820,57.43,,1343,16.24,1337808
16384,15,64,8,5,bsl,zkCrossChainSSI,2736,104.96,,2533,29.46,1341436
16384,15,64,12,5,bsl,zkCrossChainSSI,4644,177.37,,5038,46.13,1345040
16384,15,64,16,5,bsl,zkCrossChainSSI,5314,205.59,,5036,55.75,1348680
16384,15,64,4,5,cbsl,zkCrossChainSSI,126,3.17,181691,113,0.94,1007532
16384,15,64,8,5,cbsl,zkCrossChainSSI,188,4.73,181691,153,1.43,1011172
16384,15,64,12,5,cbsl,zkCrossChainSSI,281,7.20,181691,250,2.13,1014800
16384,15,64,16,5,cbsl,zkCrossChainSSI,333,8.66,181691,288,2.63,1018440
16384,15,64,20,5,cbsl,zkCrossChainSSI,479,12.04,181691,430,3.54,1021363
16384,15,64,4,10,cbsl,zkCrossChainSSI,247,6.31,181669,224,1.85,1121505
16384,15,64,4,15,cbsl,zkCrossChainSSI,326,8.57,181669,281,2.55,1235525
16384,15,64,4,20,cbsl,zkCrossChainSSI,513,12.70,181669,442,3.72,1349565
16384,15,64,0,1,cbsl,Issuer-Update,0,0,0,0,0,214705
16384,15,64,4,5,cbsl,Issuer-Update,0,0,0,0,0,1073525
16384,15,64,8,5,cbsl,Issuer-Update,0,0,0,0,0,1073525
16384,15,64,12,5,cbsl,Issuer-Update,0,0,0,0,0,1073525
16384,15,64,16,5,cbsl,Issuer-Update,0,0,0,0,0,1073525
16384,15,64,20,5,cbsl,Issuer-Update,0,0,0,0,0,1073525
16384,15,64,0,10,cbsl,Issuer-Update,0,0,0,0,0,2147050
16384,15,64,0,15,cbsl,Issuer-Update,0,0,0,0,0,3220575
16384,15,64,0,20,cbsl,Issuer-Update,0,0,0,0,0,4294100
16384,15,64,4,5,smt,zkCrossChainSSI,4568,158.51,48493,3678,49.93,559267
16384,15,64,8,5,smt,zkCrossChainSSI,8560,296.17,48493,7030,86.94,562883
16384,15,64,12,5,smt,zkCrossChainSSI,13865,454.77,48493,10624,134.46,566330
16384,15,64,16,5,smt,zkCrossChainSSI,16527,563.51,48493,12909,171.08,569958
16384,15,64,20,5,smt,zkCrossChainSSI,18877,667.44,48493,15424,199.75,573598
16384,15,64,0,1,smt,Issuer-Update,240,7.75,48493,196,2.48,294167
16384,15,64,4,5,smt,Issuer-Update,240,38.75,48493,196,12.4,1470835
16384,15,64,8,5,smt,Issuer-Update,240,38.75,48493,196,12.4,1470835
16384,15,64,12,5,smt,Issuer-Update,240,38.75,48493,196,12.4,1470835
16384,15,64,16,5,smt,Issuer-Update,240,38.75,48493,196,12.4,1470835
16384,15,64,20,5,smt,Issuer-Update,240,38.75,48493,196,12.4,1470835
16384,15,64,0,10,smt,Issuer-Update,240,77.5,48493,196,24.8,2941670
16384,15,64,0,15,smt,Issuer-Update,240,116.25,48493,196,37.2,4412505
16384,15,64,0,20,smt,Issuer-Update,240,155,48493,196,49.6,5883340
16384,15,64,4,10,smt,zkCrossChainSSI,8996,319.94,48493,6466,96.20,856039
16384,15,64,4,15,smt,zkCrossChainSSI,14925,505.13,48493,12089,149.27,1152971
16384,15,64,4,20,smt,zkCrossChainSSI,17872,639.71,48493,13993,191.69,1449844
8192,14,32,4,5,smt,zkCrossChainSSI,,,,,,
8192,14,32,4,10,smt,zkCrossChainSSI,,,,,,
8192,14,32,4,15,smt,zkCrossChainSSI,,,,,,
8192,14,32,4,20,smt,zkCrossChainSSI,8943,321.70,48493,6411,94.26,1449832
32768,16,128,4,5,smt,zkCrossChainSSI,9108,316.04,48493,8357,95.04,559243
32768,16,128,8,5,smt,zkCrossChainSSI,17076,584.42,48493,12798,176.26,562907
32768,16,128,12,5,smt,zkCrossChainSSI,,,,,,
32768,16,128,16,5,smt,zkCrossChainSSI,,,,,,
32768,16,128,20,5,smt,zkCrossChainSSI,,,,,,