time,num_statuses,algorithm,setup_peak_memory(KB),setup_time(ms),proving_peak_memory(KB),proving_time(ms),verifying_peak_memory(KB),verifying_time(ms)
0,1,bsl,12238,186.38,5416,60.435583,1036,10.842542
1,1,bsl,11361,179.811,5909,64.099833,956,8.562125
2,1,bsl,10695,183.66025,6044,60.642292,953,9.368875
0,5,bsl,21347,453.694417,15331,138.23775,956,9.513958
1,5,bsl,21358,430.838583,15308,143.35375,969,6.981875
2,5,bsl,21343,441.600125,15321,141.632042,955,8.3615
0,10,bsl,37967,870.96525,29781,272.494,954,5.006792
1,10,bsl,37514,825.712291,30883,271.82925,954,8.397125
2,10,bsl,37484,873.969041,29736,258.31275,970,6.97025
0,15,bsl,53030,1213.400875,36586,383.1685,1035,6.464708
1,15,bsl,53076,1136.005125,36615,359.201792,956,8.312833
2,15,bsl,53117,1186.436125,36611,358.116583,970,7.348959
0,20,bsl,71842,1752.186208,59417,584.5005,957,8.188791
1,20,bsl,71839,1663.864334,59804,517.621334,952,8.02975
2,20,bsl,72883,1683.331166,57683,519.022291,971,7.554875
0,25,bsl,86482,1966.290042,64176,629.415,953,8.839709
1,25,bsl,86443,1929.512875,65539,619.751875,952,9.847625
2,25,bsl,86183,1944.241333,65131,604.32675,952,9.241875
0,30,bsl,102010,2246.851458,72945,718.710333,956,8.16525
1,30,bsl,102052,2238.38475,78745,692.852209,953,8.487333
2,30,bsl,104130,2190.261708,72937,711.013,956,7.974542
0,1,bbsl,19071,491.536708,13132,169.223417,1045,7.338542
1,1,bbsl,19068,500.38,12177,166.926833,1051,7.311334
2,1,bbsl,16340,508.190875,13020,170.836708,1044,7.315208
0,2,bbsl,30889,827.788541,22504,273.495917,1047,6.6825
1,2,bbsl,30889,822.23025,23188,321.587041,1049,4.336334
2,2,bbsl,30892,875.751375,22506,265.418375,1051,8.365333
0,3,bbsl,37167,1019.3905,27453,325.795125,1049,7.544708
1,3,bbsl,37121,1067.835125,26480,325.824333,1052,9.359333
2,3,bbsl,37123,1053.858542,26783,333.485792,1047,8.332208
0,4,bbsl,54335,1482.481625,44904,456.39125,1053,6.365875
1,4,bbsl,54281,1463.6225,46217,451.8155,1048,7.118875
2,4,bbsl,54283,1481.698584,46207,443.775333,1046,7.271583
0,5,bbsl,60419,1642.816833,49935,513.5795,956,4.433916
1,5,bbsl,60417,1655.186,49652,522.779083,956,8.018958
2,5,bbsl,60411,1639.388667,46779,504.810042,956,6.327333
0,10,bbsl,113419,3206.310041,95456,951.268084,956,9.354458
1,10,bbsl,113422,3217.912208,96947,944.475916,956,8.7585
2,10,bbsl,114952,3321.33925,96991,1012.416875,956,8.194041
0,15,bbsl,190247,5078.065709,105422,1498.082125,956,7.66325
1,15,bbsl,190237,5296.784292,105617,1508.134083,956,9.354375
2,15,bbsl,190244,5128.387375,105960,1466.331042,956,8.366875
0,20,bbsl,219070,6193.899833,128726,1842.238542,956,8.242458
1,20,bbsl,219071,6242.77125,126464,1886.132958,956,6.962459
2,20,bbsl,219076,6259.987375,129442,1819.978541,956,10.855917
0,25,bbsl,249331,7375.170292,169348,2235.761542,956,11.15725
1,25,bbsl,249332,7182.7215,169378,2164.7425,956,9.596834
2,25,bbsl,249332,7272.762958,162147,2186.451292,956,7.987792
0,30,bbsl,372149,10316.472958,330486,3012.657417,956,6.423375
1,30,bbsl,372156,10339.467292,218978,2969.370583,956,6.013041
2,30,bbsl,372157,10094.523416,275141,2940.618583,956,9.058209
0,35,bbsl,396386,11307.608916,314646,3257.177125,956,12.310709
1,35,bbsl,396390,11273.225083,314648,3291.326542,956,9.334875
2,35,bbsl,396390,11173.458208,312259,3360.515959,956,7.44375
0,40,bbsl,429530,12467.442958,331776,3634.431041,956,12.183125
1,40,bbsl,429529,12414.403458,337766,3565.688083,956,5.99275
2,40,bbsl,429525,12347.181083,337750,3574.98525,956,8.409125
0,45,bbsl,453639,13543.617667,344274,3968.982208,956,9.3945
1,45,bbsl,453639,13416.941834,348468,3965.676875,956,11.595167
2,45,bbsl,453636,13294.62125,344410,3962.728541,956,11.055542
0,50,bbsl,489645,14548.342333,354306,4344.939792,956,10.531458
1,50,bbsl,489640,14469.504791,353775,4331.468458,956,8.123833
2,50,bbsl,489639,14561.633083,353725,4392.987125,956,9.384417
0,1,mt,16392,545.760375,12988,188.096667,1421,8.131584
1,1,mt,19591,550.338208,13013,193.414666,1423,8.225708
2,1,mt,19570,546.791708,12958,203.085167,1424,8.600333
0,2,mt,32705,961.53275,24030,321.331708,1618,8.486208
1,2,mt,32746,966.481959,24038,321.335333,1425,8.965875
2,2,mt,26325,974.333584,24039,320.368541,1686,9.712167
0,3,mt,40051,1303.339916,29550,443.151042,1813,11.392833
1,3,mt,40055,1373.575291,32525,433.019667,1489,9.200375
2,3,mt,40053,1294.03775,29537,428.344958,1814,10.906334
0,4,mt,47537,1834.875917,44481,584.900708,1945,10.824333
1,4,mt,58966,1832.866958,44480,585.979167,1941,18.866541
2,4,mt,47535,1848.018458,44477,588.106625,1530,8.569833
0,5,mt,66389,2177.098959,49204,699.306958,2330,11.64825
1,5,mt,66386,2132.605917,49589,692.861792,1729,10.528041
2,5,mt,66388,2132.377958,49200,708.653875,1765,9.998708